	Position	Position_id	Name	Code
1	1	CL_SEX	['Sex', 'Persons', 'Males', 'Females']	['3', '1', '2']
2	2	CL_AGE	['Age', '0 - 4', '0', '1', '2', '3', '4', '5 - 9', '5', '6', '7', '8', '9', '10 - 14', '10', '11', '12', '13', '14', '15 - 19', '15', '16', '17', '18', '19', '20 - 24', '20', '21', '22', '23', '24', '25 - 29', '25', '26', '27', '28', '29', '30 - 34', '30', '31', '32', '33', '34', '35 - 39', '35', '36', '37', '38', '39', '40 - 44', '40', '41', '42', '43', '44', '45 - 49', '45', '46', '47', '48', '49', '50 - 54', '50', '51', '52', '53', '54', '55 - 59', '55', '56', '57', '58', '59', '60 - 64', '60', '61', '62', '63', '64', '65 - 69', '65', '66', '67', '68', '69', '70 - 74', '70', '71', '72', '73', '74', '75 - 79', '75', '76', '77', '78', '79', '80 - 84', '80', '81', '82', '83', '84', '85 - 89', '85', '86', '87', '88', '89', '90 - 94', '90', '91', '92', '93', '94', '95 - 99', '95', '96', '97', '98', '99', '100 and over', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '100 years and over', '15 years and over', '65 years and over', '75 years and over', '85 years and over', '0 - 14', '5 - 14', '15 - 24', '25 - 34', '35 - 44', '45 - 54', '55 - 64', '65 - 74', '75 - 84', 'All ages', '0 - 15', '15 and under', '50 and over', '55 - 59', '60 and over', '0 - 14', '15 - 24', '25 - 44', '45 - 64', '65 and over', '85 and over', 'Total', 'Age and/or gender nfd.', '15 - 64', '18 - 19', '49 years and over', '59 years and over', '1 - 4', '5 - 14', '15 - 19', '25 - 34', '35 - 44', '45 - 54', '55 - 64', '65 - 74', '75 and over', '105 and over', '75 and over', '15 and over', '20 and over', '20 - 24', '25 - 29', '30 - 34', '35 - 39', '40 - 44', '45 - 49', '50 - 54', '60 - 64', '65 - 69', '70 and over', 'Overseas Visitors', 'Not stated']	['A04', '0', '1', '2', '3', '4', 'A59', '5', '6', '7', '8', '9', 'A10', '10', '11', '12', '13', '14', 'A15', '15', '16', '17', '18', '19', 'A20', '20', '21', '22', '23', '24', 'A25', '25', '26', '27', '28', '29', 'A30', '30', '31', '32', '33', '34', 'A35', '35', '36', '37', '38', '39', 'A40', '40', '41', '42', '43', '44', 'A45', '45', '46', '47', '48', '49', 'A50', '50', '51', '52', '53', '54', 'A55', '55', '56', '57', '58', '59', 'A60', '60', '61', '62', '63', '64', 'A65', '65', '66', '67', '68', '69', 'A70', '70', '71', '72', '73', '74', 'A75', '75', '76', '77', '78', '79', 'A80', '80', '81', '82', '83', '84', 'A85', '85', '86', '87', '88', '89', 'A90', '90', '91', '92', '93', '94', 'A95', '95', '96', '97', '98', '99', 'A99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', 'A100', 'O15', 'O65', 'O75', 'O85', 'T0', 'T5', 'T15', 'T25', 'T35', 'T45', 'T55', 'T65', 'T75', 'TT', '0015', '1500', '5099', '5559', '6099', '0014', '1524', '2544', '4564', '6599', '8599', 'TOT', 'AGE_NFD', '1564', '1819', '4999', '5999', '0104', '0514', '1519', '2534', '3544', '4554', '5564', '6574', '7599', '10599', '75OVER', '1599', '2099', '2024', '2529', '3034', '3539', '4044', '4549', '5054', '6064', '6569', '7099', 'V', '999']
